Component: COP9 signalosome/8180	/RPN5/YDL147W/S000002306/ORF|Verified/|/RRI1/YDL216C/S000002375/ORF|Verified/|/CSN9/YDR179C/S000002586/ORF|Verified/|/PCI8/YIL071C/S000001333/ORF|Verified/|/CSI1/YMR025W/S000004627/ORF|Verified/|/RRI2/YOL117W/S000005477/ORF|Verified/
Component: COPI vesicle coat/30126	/COP1/YDL145C/S000002304/ORF|Verified/|/SEC26/YDR238C/S000002646/ORF|Verified/|/GLO3/YER122C/S000000924/ORF|Verified/|/RET2/YFR051C/S000001947/ORF|Verified/|/SEC27/YGL137W/S000003105/ORF|Verified/|/SEC28/YIL076W/S000001338/ORF|Verified/|/SEC21/YNL287W/S000005231/ORF|Verified/|/RET3/YPL010W/S000005931/ORF|Verified/
Component: COPII vesicle coat/30127	/SEC31/YDL195W/S000002354/ORF|Verified/|/GRH1/YDR517W/S000002925/ORF|Verified/|/SFB3/YHR098C/S000001140/ORF|Verified/|/SEC24/YIL109C/S000001371/ORF|Verified/|/SEC13/YLR208W/S000004198/ORF|Verified/|/SFB2/YNL049C/S000004994/ORF|Verified/|/SAR1/YPL218W/S000006139/ORF|Verified/|/SEC23/YPR181C/S000006385/ORF|Verified/
Component: CORVET complex/33263	/VPS8/YAL002W/S000000002/ORF|Verified/|/VPS3/YDR495C/S000002903/ORF|Verified/|/PEP3/YLR148W/S000004138/ORF|Verified/|/VPS33/YLR396C/S000004388/ORF|Verified/|/PEP5/YMR231W/S000004844/ORF|Verified/|/VPS16/YPL045W/S000005966/ORF|Verified/
Component: CURI complex/32545	/RRP7/YCL031C/S000000536/ORF|Verified/|/UTP22/YGR090W/S000003322/ORF|Verified/|/IFH1/YLR223C/S000004213/ORF|Verified/|/CKB2/YOR039W/S000005565/ORF|Verified/|/FHL1/YPR104C/S000006308/ORF|Verified/
Component: CVT complex/34270	/ATG19/YOL082W/S000005442/ORF|Verified/|/ATG34/YOL083W/S000005443/ORF|Verified/
Component: Cbf1-Met4-Met28 complex/89713	/MET28/YIR017C/S000001456/ORF|Verified/|/CBF1/YJR060W/S000003821/ORF|Verified/|/MET4/YNL103W/S000005047/ORF|Verified/
Component: Cbp3p-Cbp6 complex/61671	/CBP6/YBR120C/S000000324/ORF|Verified/|/CBP3/YPL215W/S000006136/ORF|Verified/
Component: Cdc48p-Npl4p-Ufd1p AAA ATPase complex/34098	/NPL4/YBR170C/S000000374/ORF|Verified/|/CDC48/YDL126C/S000002284/ORF|Verified/|/UFD1/YGR048W/S000003280/ORF|Verified/
Component: Cdc48p-Npl4p-Vms1p AAA ATPase complex/36266	/NPL4/YBR170C/S000000374/ORF|Verified/|/CDC48/YDL126C/S000002284/ORF|Verified/|/VMS1/YDR049W/S000002456/ORF|Verified/
Component: Cdc50p-Drs2p complex/1990530	/DRS2/YAL026C/S000000024/ORF|Verified/|/CDC50/YCR094W/S000000690/ORF|Verified/
Component: Cdc73/Paf1 complex/16593	/CCR4/YAL021C/S000000019/ORF|Verified/|/PAF1/YBR279W/S000000483/ORF|Verified/|/HPR1/YDR138W/S000002545/ORF|Verified/|/RTF1/YGL244W/S000003213/ORF|Verified/|/CDC73/YLR418C/S000004410/ORF|Verified/|/CTR9/YOL145C/S000005505/ORF|Verified/|/LEO1/YOR123C/S000005649/ORF|Verified/
Component: CoA-synthesizing protein complex/1990143	/CAB5/YDR196C/S000002604/ORF|Verified/|/CAB4/YGR277C/S000003509/ORF|Verified/|/CAB2/YIL083C/S000001345/ORF|Verified/|/CAB3/YKL088W/S000001571/ORF|Verified/|/SIS2/YKR072C/S000001780/ORF|Verified/|/VHS3/YOR054C/S000005580/ORF|Verified/
Component: Ctf18 RFC-like complex/31390	/RFC5/YBR087W/S000000291/ORF|Verified/|/DCC1/YCL016C/S000000521/ORF|Verified/|/CTF8/YHR191C/S000001234/ORF|Verified/|/RFC2/YJR068W/S000003829/ORF|Verified/|/CTF18/YMR078C/S000004683/ORF|Verified/|/RFC3/YNL290W/S000005234/ORF|Verified/|/RFC4/YOL094C/S000005454/ORF|Verified/
Component: Cul3-RING ubiquitin ligase complex/31463	/RAD16/YBR114W/S000000318/ORF|Verified/|/CUL3/YGR003W/S000003235/ORF|Verified/|/RAD7/YJR052W/S000003813/ORF|Verified/|/ELA1/YNL230C/S000005174/ORF|Verified/|/HRT1/YOL133W/S000005493/ORF|Verified/|/ELC1/YPL046C/S000005967/ORF|Verified/
Component: Cul8-RING ubiquitin ligase complex/35361	/RTT107/YHR154W/S000001197/ORF|Verified/|/RTT101/YJL047C/S000003583/ORF|Verified/|/MMS22/YLR320W/S000004312/ORF|Verified/|/HRT1/YOL133W/S000005493/ORF|Verified/|/MMS1/YPR164W/S000006368/ORF|Verified/
Component: DASH complex/42729	/DAD3/YBR233W-A/S000007595/ORF|Verified/|/DAD1/YDR016C/S000002423/ORF|Verified/|/SPC19/YDR201W/S000002609/ORF|Verified/|/DAD4/YDR320C-A/S000007604/ORF|Verified/|/DUO1/YGL061C/S000003029/ORF|Verified/|/DAM1/YGR113W/S000003345/ORF|Verified/|/ASK1/YKL052C/S000001535/ORF|Verified/|/HSK3/YKL138C-A/S000028421/ORF|Verified/|/SPC34/YKR037C/S000001745/ORF|Verified/|/DAD2/YKR083C/S000001791/ORF|Verified/
Component: DNA helicase A complex/33203	/HCS1/YKL017C/S000001500/ORF|Verified/
Component: DNA ligase IV complex/32807	/LIF1/YGL090W/S000003058/ORF|Verified/|/NEJ1/YLR265C/S000004255/ORF|Verified/|/DNL4/YOR005C/S000005531/ORF|Verified/
Component: DNA replication factor A complex/5662	/RFA1/YAR007C/S000000065/ORF|Verified/|/RFA3/YJL173C/S000003709/ORF|Verified/|/RFA2/YNL312W/S000005256/ORF|Verified/
Component: DNA replication factor C complex/5663	/RFC5/YBR087W/S000000291/ORF|Verified/|/RFC2/YJR068W/S000003829/ORF|Verified/|/RFC3/YNL290W/S000005234/ORF|Verified/|/RFC4/YOL094C/S000005454/ORF|Verified/|/RFC1/YOR217W/S000005743/ORF|Verified/
Component: DNA replication preinitiation complex/31261	/MCM2/YBL023C/S000000119/ORF|Verified/|/ORC2/YBR060C/S000000264/ORF|Verified/|/MCM7/YBR202W/S000000406/ORF|Verified/|/PSF1/YDR013W/S000002420/ORF|Verified/|/SLD5/YDR489W/S000002897/ORF|Verified/|/MCM3/YEL032W/S000000758/ORF|Verified/|/SLD3/YGL113W/S000003081/ORF|Verified/|/MCM6/YGL201C/S000003169/ORF|Verified/|/ORC6/YHR118C/S000001160/ORF|Verified/|/PSF2/YJL072C/S000003608/ORF|Verified/|/DPB11/YJL090C/S000003626/ORF|Verified/|/CDC6/YJL194W/S000003730/ORF|Verified/|/SLD2/YKL108W/S000001591/ORF|Verified/|/ORC3/YLL004W/S000003927/ORF|Verified/|/CDC45/YLR103C/S000004093/ORF|Verified/|/MCM5/YLR274W/S000004264/ORF|Verified/|/ORC1/YML065W/S000004530/ORF|Verified/|/ORC5/YNL261W/S000005205/ORF|Verified/|/PSF3/YOL146W/S000005506/ORF|Verified/|/SLD7/YOR060C/S000005586/ORF|Verified/|/MCM4/YPR019W/S000006223/ORF|Verified/|/ORC4/YPR162C/S000006366/ORF|Verified/
Component: DNA-directed RNA polymerase I complex/5736	/RPB5/YBR154C/S000000358/ORF|Verified/|/RPA14/YDR156W/S000002563/ORF|Verified/|/RPC10/YHR143W-A/S000001185/ORF|Verified/|/RPA34/YJL148W/S000003684/ORF|Verified/|/RPA12/YJR063W/S000003824/ORF|Verified/|/RPC19/YNL113W/S000005057/ORF|Verified/|/RPA49/YNL248C/S000005192/ORF|Verified/|/RPB10/YOR210W/S000005736/ORF|Verified/|/RPB8/YOR224C/S000005750/ORF|Verified/|/RPA43/YOR340C/S000005867/ORF|Verified/|/RPA190/YOR341W/S000005868/ORF|Verified/|/RPA135/YPR010C/S000006214/ORF|Verified/|/RPC40/YPR110C/S000006314/ORF|Verified/|/RPO26/YPR187W/S000006391/ORF|Verified/
Component: DNA-directed RNA polymerase II, core complex/5665	/RPB5/YBR154C/S000000358/ORF|Verified/|/RPO21/YDL140C/S000002299/ORF|Verified/|/RPB7/YDR404C/S000002812/ORF|Verified/|/RPB9/YGL070C/S000003038/ORF|Verified/|/RPC10/YHR143W-A/S000001185/ORF|Verified/|/RPB3/YIL021W/S000001283/ORF|Verified/|/RPB4/YJL140W/S000003676/ORF|Verified/|/NPA3/YJR072C/S000003833/ORF|Verified/|/RPB11/YOL005C/S000005365/ORF|Verified/|/RPB2/YOR151C/S000005677/ORF|Verified/|/RPB10/YOR210W/S000005736/ORF|Verified/|/RPB8/YOR224C/S000005750/ORF|Verified/|/RPO26/YPR187W/S000006391/ORF|Verified/
